provider_code,provider_name,category,game_symbol,game_name,localized_title,game_image,launch_enable,under_maintenance
1,Pragmatic Play,Slot,vs5trdragons,Triple Dragons,Triple Dragons,https://bo-prd-v2.meganodes.net/img/games/p1/vs5trdragons.jpg,True,False
1,Pragmatic Play,Slot,vs25safari,Hot Safari,Hot Safari,https://bo-prd-v2.meganodes.net/img/games/p1/vs25safari.jpg,True,False
1,Pragmatic Play,Slot,vs20gorilla,Jungle Gorilla,Jungle Gorilla,https://bo-prd-v2.meganodes.net/img/games/p1/vs20gorilla.jpg,True,True
1,Pragmatic Play,Slot,vs20leprechaun,Leprechaun Song,Leprechaun Song,https://bo-prd-v2.meganodes.net/img/games/p1/vs20leprechaun.jpg,True,False
1,Pragmatic Play,Slot,vs25dwarves_new,Dwarven Gold Deluxe,Dwarven Gold Deluxe,https://bo-prd-v2.meganodes.net/img/games/p1/vs25dwarves_new.jpg,True,False
1,Pragmatic Play,Slot,vs50chinesecharms,Lucky Dragons,Lucky Dragons,https://bo-prd-v2.meganodes.net/img/games/p1/vs50chinesecharms.jpg,True,False
1,Pragmatic Play,Slot,vswayswildwest,Wild West Gold Megaways,Wild West Gold Megaways,https://bo-prd-v2.meganodes.net/img/games/p1/vswayswildwest.jpg,True,False
1,Pragmatic Play,Slot,vs13g,Devil's 13,Devil's 13,https://bo-prd-v2.meganodes.net/img/games/p1/vs13g.jpg,True,False
1,Pragmatic Play,Slot,vs25chilli,Chilli Heat,Chilli Heat,https://bo-prd-v2.meganodes.net/img/games/p1/vs25chilli.jpg,True,False
1,Pragmatic Play,Slot,vswayscryscav,Crystal Caverns Megaways,Crystal Caverns Megaways,https://bo-prd-v2.meganodes.net/img/games/p1/vswayscryscav.jpg,True,False
1,Pragmatic Play,Slot,vs20daydead,Day of Dead,Day of Dead,https://bo-prd-v2.meganodes.net/img/games/p1/vs20daydead.jpg,True,False
1,Pragmatic Play,Slot,vs9chen,Master Chen's Fortune,Master Chen's Fortune,https://bo-prd-v2.meganodes.net/img/games/p1/vs9chen.jpg,True,False
1,Pragmatic Play,Slot,vs1masterjoker,Master Joker,Master Joker,https://bo-prd-v2.meganodes.net/img/games/p1/vs1masterjoker.jpg,True,False
1,Pragmatic Play,Slot,vs20leprexmas,Leprechaun Carol,Leprechaun Carol,https://bo-prd-v2.meganodes.net/img/games/p1/vs20leprexmas.jpg,True,False
1,Pragmatic Play,Slot,vs20godiva,Lady Godiva,Lady Godiva,https://bo-prd-v2.meganodes.net/img/games/p1/vs20godiva.jpg,True,False
1,Pragmatic Play,Slot,vs243fortseren,Greek Gods,Greek Gods,https://bo-prd-v2.meganodes.net/img/games/p1/vs243fortseren.jpg,True,False
1,Pragmatic Play,Slot,vs20honey,Honey Honey Honey,Honey Honey Honey,https://bo-prd-v2.meganodes.net/img/games/p1/vs20honey.jpg,True,False
1,Pragmatic Play,Slot,vs25goldpig,Golden Pig,Golden Pig,https://bo-prd-v2.meganodes.net/img/games/p1/vs25goldpig.jpg,True,False
1,Pragmatic Play,Slot,vswaysbankbonz,Cash Bonanza,Cash Bonanza,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysbankbonz.jpg,True,False
1,Pragmatic Play,Slot,vs10mayangods,John Hunter And The Mayan Gods,John Hunter And The Mayan Gods,https://bo-prd-v2.meganodes.net/img/games/p1/vs10mayangods.jpg,True,False
1,Pragmatic Play,Slot,vs1money,Money Money Money,Money Money Money,https://bo-prd-v2.meganodes.net/img/games/p1/vs1money.jpg,True,False
1,Pragmatic Play,Slot,vs1fufufu,Fu Fu Fu,Fu Fu Fu,https://bo-prd-v2.meganodes.net/img/games/p1/vs1fufufu.jpg,True,False
1,Pragmatic Play,Slot,vswayselements,Elemental Gems Megaways,Elemental Gems Megaways,https://bo-prd-v2.meganodes.net/img/games/p1/vswayselements.jpg,True,False
1,Pragmatic Play,Slot,vs5drhs,Dragon Hot Hold & Spin,Dragon Hot Hold & Spin,https://bo-prd-v2.meganodes.net/img/games/p1/vs5drhs.jpg,True,False
1,Pragmatic Play,Slot,vs7fire88,Fire 88,Fire 88,https://bo-prd-v2.meganodes.net/img/games/p1/vs7fire88.jpg,True,False
1,Pragmatic Play,Slot,vs15fairytale,Fairytale Fortune,Fairytale Fortune,https://bo-prd-v2.meganodes.net/img/games/p1/vs15fairytale.jpg,True,False
1,Pragmatic Play,Slot,vs10eyestorm,Eye of the Storm,Eye of the Storm,https://bo-prd-v2.meganodes.net/img/games/p1/vs10eyestorm.jpg,True,False
